Year,Name,YearName,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle,Pick,Round
2014,Zach Fulton,2014Zach Fulton,Tennessee,OG,76.63,316,10.25,33.25,,5.16,25,24.5,98,5.16,7.87,,193,6
2014,Tyler Gaffney,2014Tyler Gaffney,Stanford,RB,71.5,220,9,30.25,,4.49,,36.5,115,4.18,6.78,11.36,204,6
2014,E.J. Gaines,2014E.J. Gaines,Missouri,CB,69.63,190,9.38,30.38,,4.44,15,,,,,,188,6
2014,Phillip Gaines,2014Phillip Gaines,Rice (TX),CB,72.38,193,9.63,31.88,,4.38,11,36.5,122,4.04,6.62,,87,3
2014,Jeremy Gallon,2014Jeremy Gallon,Michigan,WR,67.5,185,9.38,29.5,,4.49,15,,,,,,244,7
2014,Jimmy Garoppolo,2014Jimmy Garoppolo,Eastern Illinois,QB,74.25,226,9.25,31,24,4.97,,30.5,110,4.26,7.04,,62,2
2014,James Gayle,2014James Gayle,Virginia Tech,DE,75.75,259,9.63,32.38,,4.7,26,37,122,4.27,7.19,,#N/A,#N/A
2014,Jeremiah George,2014Jeremiah George,Iowa State,ILB,71.25,234,9.25,31.88,,4.91,28,33,115,,,,154,5
2014,Justin Gilbert,2014Justin Gilbert,Oklahoma State,CB,72.13,202,8.63,33.13,,4.37,20,35.5,125,,6.92,,8,1
2014,Crockett Gillmore,2014Crockett Gillmore,Colorado State,TE,77.88,260,10.38,33.75,,4.89,,33.5,120,4.44,7.42,,99,3
2014,Demetri Goodson,2014Demetri Goodson,Baylor,CB,71,194,9.25,31.75,,4.52,11,37,123,4.34,6.8,,197,6
2014,Ryan Grant,2014Ryan Grant,Tulane (LA),WR,72.38,199,9.63,31,,4.64,8,35.5,117,4.11,6.68,11.63,142,5
2014,Xavier Grimble,2014Xavier Grimble,Southern California,TE,76.25,257,10.25,33.63,,4.76,,26.1,112,,,,#N/A,#N/A
2014,Ryan Groy,2014Ryan Groy,Wisconsin,OG,76.63,316,10.38,33.25,,5.19,26,26.5,108,4.47,7.49,,#N/A,#N/A
2014,RaShede Hageman,2014RaShede Hageman,Minnesota,DT,77.88,310,,,13,5.02,32,35.5,113,4.5,7.87,,#N/A,#N/A
2014,Andre Hal,2014Andre Hal,Vanderbilt,CB,70.38,188,8.63,30.5,,4.5,15,35.5,117,4.27,7.14,,216,7
2014,Jon Halapio,2014Jon Halapio,Florida,OG,75.5,323,10.25,33.63,,5.34,,21.5,99,4.83,8.26,,179,6
2014,Victor Hampton,2014Victor Hampton,South Carolina,CB,69,197,9.25,31.25,,4.69,20,33.5,116,4.2,7.01,11.57,#N/A,#N/A
2014,Jonotthan Harrison,2014Jonotthan Harrison,Florida,C,75.5,304,9.88,33.38,,5.15,27,27,112,4.86,7.97,,#N/A,#N/A
2014,Taylor Hart,2014Taylor Hart,Oregon,DE,78.13,281,10.13,32.75,,4.92,21,,,,,,141,5
2014,Matt Hazel,2014Matt Hazel,Coastal Carolina (SC),WR,73,198,9.13,31.38,,4.5,15,36.5,116,4.2,7.08,11.6,190,6
2014,Marcus Heit,2014Marcus Heit,Kansas State,LS,75,258,9.88,31.38,,4.91,,29,,,,,#N/A,#N/A
2014,Seantrel Henderson,2014Seantrel Henderson,Miami (FL),OT,79.13,331,10.5,34.63,,5.04,,24,93,4.77,8.15,,237,7
2014,Robert Herron,2014Robert Herron,Wyoming,WR,69.13,193,9.75,30.5,,4.48,18,35.5,124,4.27,6.84,,185,6
2014,Ryan Hewitt,2014Ryan Hewitt,Stanford,FB,76.13,246,9.25,32,,4.87,,33,116,4.35,7.04,11.86,#N/A,#N/A
2014,Jeremy Hill,2014Jeremy Hill,Louisiana State,RB,72.63,233,10.38,32.63,,4.56,20,29,112,,,,55,2
2014,Anthony Hitchens,2014Anthony Hitchens,Iowa,OLB,72.38,240,9.13,32.5,,4.74,23,31.5,115,4.45,7.15,,119,4
2014,Cody Hoffman,2014Cody Hoffman,Brigham Young,WR,75.88,223,9.75,33.25,,4.65,13,27.5,108,4.2,6.89,,#N/A,#N/A
2014,Adrian Hubbard,2014Adrian Hubbard,Alabama,OLB,78,257,9.25,34.5,,4.69,,38.5,116,,,,#N/A,#N/A
2014,Josh Huff,2014Josh Huff,Oregon,WR,71.25,206,9.38,31.25,,4.51,14,35.5,115,,,,86,3
2014,Marqueston Huff,2014Marqueston Huff,Wyoming,FS,71.13,196,9,31.38,,4.49,15,35.5,116,4.19,7.26,,122,4
2014,Allen Hurns,2014Allen Hurns,Miami (FL),WR,73.25,198,9.25,32,,4.55,14,31,120,4.5,7.23,,#N/A,#N/A
2014,Carlos Hyde,2014Carlos Hyde,Ohio State,RB,71.88,230,9.63,32,9,4.62,19,34.5,113,,,,57,2
2014,Kerry Hyder,2014Kerry Hyder,Texas Tech,DT,74.5,290,9.75,33.5,,5.1,20,29.5,108,4.33,7.23,,#N/A,#N/A
2014,Gabe Ikard,2014Gabe Ikard,Oklahoma,C,75.63,304,9.63,33.13,,5.13,22,26,102,4.37,7.3,,#N/A,#N/A
2014,Bennett Jackson,2014Bennett Jackson,Notre Dame,CB,71.88,195,9.25,31.38,,4.51,13,38,127,4,6.75,,187,6
2014,Gabe Jackson,2014Gabe Jackson,Mississippi State,OG,75.25,336,10,33.75,,5.34,30,29,108,4.78,8.25,,81,3
2014,Nic Jacobs,2014Nic Jacobs,McNeese State (LA),TE,76.75,269,10,34.13,,4.89,15,,,,,,#N/A,#N/A
2014,JaWuan James,2014JaWuan James,Tennessee,OT,78,311,9.88,35,,5.34,22,29,102,4.56,7.42,,#N/A,#N/A
2014,Kendall James,2014Kendall James,Maine,CB,70.5,180,8,29.5,,4.44,9,39,,4.19,6.81,,184,6
2014,Jeff Janis,2014Jeff Janis,Saginaw Valley State (MI),WR,74.88,219,9,32.5,,4.42,20,37.5,123,3.98,6.64,,236,7
2014,Stanley Jean-Baptiste,2014Stanley Jean-Baptiste,Nebraska,CB,74.63,218,8.63,32.38,,4.61,13,41.5,127,4.33,,,58,2
2014,Jackson Jeffcoat,2014Jackson Jeffcoat,Texas,DE,75,247,9.63,33.88,,4.63,18,36,123,4.18,6.97,,#N/A,#N/A
2014,Marcel Jensen,2014Marcel Jensen,Frenso State (CA),TE,77.75,259,9.88,34.88,,4.85,24,35,114,4.6,7.38,,#N/A,#N/A
2014,Timmy Jernigan,2014Timmy Jernigan,Florida State,DT,73.63,299,9.63,31.63,,5.06,27,29.5,101,4.83,,,48,2
2014,Anthony Johnson,2014Anthony Johnson,Louisiana State,DT,74.5,308,10.38,33,,5.24,20,24.5,101,4.83,7.93,,#N/A,#N/A
2014,Dontae Johnson,2014Dontae Johnson,North Carolina State,FS,74.13,200,8.63,31.5,,4.45,12,38.5,123,4.24,6.82,11.06,129,4
2014,Storm Johnson,2014Storm Johnson,Central Florida,RB,71.63,209,9.5,32,,4.6,16,35.5,116,,,,222,7
2014,Wesley Johnson,2014Wesley Johnson,Vanderbilt,OT,77.38,297,10.25,33.13,,5.11,26,29,111,4.64,7.4,,173,5
2014,Christian Jones,2014Christian Jones,Florida State,ILB,75.13,240,9.63,33.5,,4.74,,33.5,114,,,,#N/A,#N/A
2014,DaQuan Jones,2014DaQuan Jones,Penn State,DT,75.75,322,9.63,33.5,,5.35,25,27.5,100,4.78,7.73,,112,4
2014,Howard Jones,2014Howard Jones,Shepherd (WV),OLB,74.5,235,9.5,34.13,,4.6,21,40.5,123,4.41,7.16,,#N/A,#N/A
2014,TJ Jones,2014TJ Jones,Notre Dame,WR,71.63,188,,,,4.48,,33,117,4.27,6.82,,#N/A,#N/A
2014,Reggie Jordan,2014Reggie Jordan,Missouri Western,FB,74.88,240,9.63,32.25,,4.77,24,30,115,4.3,7.22,,#N/A,#N/A
2014,Henry Josey,2014Henry Josey,Missouri,RB,68.13,194,9.5,30.25,,4.43,20,34.5,116,4.13,7.07,11.67,#N/A,#N/A
2014,Lamarcus Joyner,2014Lamarcus Joyner,Florida State,CB,68,184,9.5,31.5,,4.55,14,37.5,123,4.4,7.26,,41,2
2014,Devon Kennard,2014Devon Kennard,Southern California,OLB,75,249,9.38,33.38,,4.7,23,30,112,4.32,7.25,,174,5
2014,Zack Kerr,2014Zack Kerr,Delaware,DT,73.38,326,,,,5.08,28,28.5,99,4.71,7.93,,#N/A,#N/A
2014,Christian Kirksey,2014Christian Kirksey,Iowa,OLB,73.75,233,9.38,32.38,,4.72,16,32,122,,,,71,3
2014,Cyrus Kouandjio,2014Cyrus Kouandjio,Alabama,OT,78.75,322,10.25,35.63,,5.59,21,27.5,96,4.84,7.71,,44,2
2014,Kenny Ladler,2014Kenny Ladler,Vanderbilt,FS,72.13,207,9.63,31.63,,4.7,24,36.5,126,,,,#N/A,#N/A
2014,Jarvis Landry,2014Jarvis Landry,Louisiana State,WR,71.5,205,10.25,31.75,,4.65,12,28.5,110,,,,63,2
2014,Tyler Larsen,2014Tyler Larsen,Utah State,C,75.63,313,9.25,31.5,,5.17,36,23.5,101,4.7,8.22,,#N/A,#N/A
2014,Cody Latimer,2014Cody Latimer,Indiana,WR,74.5,215,9.63,32.63,,4.52,23,,,,,,56,2
2014,Demarcus Lawrence,2014Demarcus Lawrence,Boise State,DE,74.88,251,11,33.75,,4.8,20,34.5,112,4.31,7.46,,34,2
2014,Nevin Lawson,2014Nevin Lawson,Utah State,CB,69.5,190,9,31.5,,4.48,16,33,120,4.4,7.12,,133,4
2014,Marqise Lee,2014Marqise Lee,Southern California,WR,71.75,192,9.5,31.75,,4.52,,38,126,4.01,,,39,2
2014,Charles Leno,2014Charles Leno,Boise State,OT,75.88,303,10.13,34.38,,5.21,21,29,108,4.4,7.57,,246,7
2014,A.C. Leonard,2014A.C. Leonard,Tennessee State,TE,74.38,252,9.25,33,,4.5,20,34,127,,,,#N/A,#N/A
2014,Taylor Lewan,2014Taylor Lewan,Michigan,OT,79.13,309,9.25,33.88,,4.87,29,30.5,116,4.49,7.39,,11,1
2014,Isaiah Lewis,2014Isaiah Lewis,Michigan State,SS,69.88,211,9.63,31.5,,4.6,15,36.5,122,4.47,7.05,,#N/A,#N/A
2014,Brandon Linder,2014Brandon Linder,Miami (FL),OG,77.63,311,10.25,34.5,,5.35,30,26.5,99,,,,93,3
2014,Corey Linsley,2014Corey Linsley,Ohio State,C,74.63,296,9.88,32,,5.24,36,27,,,,,161,5
2014,Boseko Lokombo,2014Boseko Lokombo,Oregon,OLB,74.13,225,9.88,33.38,,4.66,,,122,4.3,7.15,,#N/A,#N/A
2014,Craig Loston,2014Craig Loston,Louisiana State,SS,72.63,217,9.75,30.75,,4.65,12,32.5,117,4.35,7.15,,#N/A,#N/A
2014,Marcus Lucas,2014Marcus Lucas,Missouri,WR,75.75,218,9.38,33.63,,4.6,20,36,123,4.25,7.07,,#N/A,#N/A
2014,Colt Lyerla,2014Colt Lyerla,Oregon,TE,75.88,242,10.25,32.75,24,4.61,15,39,127,,,,#N/A,#N/A
2014,Aaron Lynch,2014Aaron Lynch,South Florida,DE,77,249,,,,4.76,18,,,,,,150,5
2014,Arthur Lynch,2014Arthur Lynch,Georgia,TE,76.63,258,10.13,32.5,,4.82,28,29.5,115,4.35,7.38,,155,5
2014,Jordan Lynch,2014Jordan Lynch,Northern Illinois,QB,72.13,217,8.88,29.75,,4.76,,29.5,109,4.2,6.55,,#N/A,#N/A
2014,Khalil Mack,2014Khalil Mack,Buffalo,OLB,74.63,251,10.25,33.25,,4.65,23,40,127,4.18,7.08,,5,1
2014,Cody Mandell,2014Cody Mandell,Alabama,P,74.5,216,9.75,31.13,,4.89,,27,,,,,#N/A,#N/A
2014,Eathyn Manumaleuna,2014Eathyn Manumaleuna,Brigham Young,DT,74.25,296,10,32.25,,5.16,29,28,100,4.61,7.78,,#N/A,#N/A
2014,Johnny Manziel,2014Johnny Manziel,Texas A&M,QB,71.75,207,9.88,31.38,32,4.68,,31.5,112,4.03,6.75,,22,1
2014,Cassius Marsh,2014Cassius Marsh,UCLA,DE,76,252,9.5,32.75,,4.89,14,32,108,4.25,7.08,,108,4
2014,Kareem Martin,2014Kareem Martin,North Carolina,DE,77.88,272,10,35,,4.72,22,35.5,128,4.33,7.2,,84,3
2014,Marcus Martin,2014Marcus Martin,Southern California,C,75.38,320,10,34,,5.38,23,,,,,,70,3
2014,Zack Martin,2014Zack Martin,Notre Dame,OT,76.25,308,9.5,32.88,,5.22,29,28,104,4.59,7.65,,16,1
2014,Tre Mason,2014Tre Mason,Auburn,RB,68.5,207,9,30,,4.5,,38.5,125,4.15,,,75,3
2014,Jeff Mathews,2014Jeff Mathews,Cornell (NY),QB,75.75,223,10.13,32.13,,5.26,,25.5,104,4.36,7.14,,#N/A,#N/A
2014,Jake Matthews,2014Jake Matthews,Texas A&M,OT,77.5,308,9.88,33.38,,5.07,24,30.5,104,4.47,7.34,,6,1
2014,Jordan Matthews,2014Jordan Matthews,Vanderbilt,WR,75.13,212,10.38,33.25,29,4.46,21,35.5,120,4.18,6.95,11.84,42,2
2014,Josh Mauro,2014Josh Mauro,Stanford,DE,77.88,271,9.5,33,,5.21,21,32,115,4.51,7.43,,#N/A,#N/A
2014,A.J. McCarron,2014A.J. McCarron,Alabama,QB,75.25,220,,,,4.94,,28,99,4.34,,,164,5
2014,Daniel McCullers,2014Daniel McCullers,Tennessee,DT,78.75,352,11,36.63,,5.18,27,20.5,104,,,,215,6
2014,Keith McGill,2014Keith McGill,Utah,CB,75.38,211,10.25,33.25,,4.51,,39,128,4.18,7.29,,116,4
2014,Jerick McKinnon,2014Jerick McKinnon,Georgia Southern,RB,68.88,209,8.63,30.25,,4.41,32,40.5,132,4.12,6.83,,96,3
2014,Zach Mettenberger,2014Zach Mettenberger,Louisiana State,QB,76.88,224,9.75,32.38,,,,,,,,,178,6
2014,Jack Mewhort,2014Jack Mewhort,Ohio State,OT,78,309,9.75,34,,5.37,28,26,100,4.64,7.79,,59,2
2014,Tevin Mims,2014Tevin Mims,South Florida,DE,76,260,9.38,33.5,,4.95,17,27.5,116,,,,#N/A,#N/A
2014,Terrance Mitchell,2014Terrance Mitchell,Oregon,CB,71.13,192,8.5,30.13,,4.63,,34,116,4,6.57,11.22,254,7
2014,Donte Moncrief,2014Donte Moncrief,Mississippi,WR,74.38,221,9.13,32.38,,4.4,13,39.5,132,4.3,7.02,,90,3
2014,Zach Moore,2014Zach Moore,Concordia - St Paul (MN),DE,77.5,269,9.63,33.75,,4.84,23,33.5,123,4.46,7.41,,198,6
2014,James Morris,2014James Morris,Iowa,ILB,72.88,241,9.13,30.75,,4.8,18,34.5,116,4.36,6.94,,#N/A,#N/A
2014,Stephen Morris,2014Stephen Morris,Miami (FL),QB,73.88,213,10.25,32.75,,4.63,,30,111,4.49,7.36,,#N/A,#N/A
2014,Morgan Moses,2014Morgan Moses,Virginia,OT,78,314,9.88,35.38,,5.35,,21.5,104,4.95,7.93,,66,3
2014,C.J. Mosley,2014C.J. Mosley,Alabama,ILB,74,234,10.75,33.38,,4.65,,35,116,4.4,7.3,,17,1
2014,Jake Murphy,2014Jake Murphy,Utah,TE,76,249,10,31.75,,4.79,24,33,113,4.27,7.18,,#N/A,#N/A
2014,Trent Murphy,2014Trent Murphy,Stanford,DE,77.38,250,11.13,33.88,,4.86,19,35.5,116,4.2,6.78,,47,2
2014,Jordan Najvar,2014Jordan Najvar,Baylor,TE,77.88,256,10,32.25,,4.93,18,32.5,111,4.47,7.14,12.02,#N/A,#N/A
2014,Jonathan Newsome,2014Jonathan Newsome,Ball State (IN),OLB,74.63,247,9.63,33.25,,4.73,21,34,116,4.63,7.31,,166,5
2014,Troy Niklas,2014Troy Niklas,Notre Dame,TE,78.5,270,10,34.13,,4.84,27,32,113,4.55,7.57,12.19,52,2
2014,Louis Nix,2014Louis Nix,Notre Dame,DT,74,331,9.88,33,,5.42,,25.5,104,4.94,8.29,,83,3
2014,Kevin Norwood,2014Kevin Norwood,Alabama,WR,74,198,10,32.13,,4.48,8,33,121,4.32,6.68,11.46,123,4
2014,Pat O'Donnell,2014Pat O'Donnell,Miami (FL),P,76,220,9.75,32.5,,4.64,23,30.5,,,,,191,6
2014,Tenny Palepoi,2014Tenny Palepoi,Utah,DT,73.5,298,9.88,30.5,,5.1,31,30.5,111,4.53,7.67,,#N/A,#N/A
2014,Matt Paradis,2014Matt Paradis,Boise State,C,74.63,306,,,,5.34,23,26,102,4.46,7.6,,207,6
2014,Matt Patchan,2014Matt Patchan,Boston College,OT,78.25,302,9.38,33,,4.97,22,33.5,,,,,#N/A,#N/A
2014,Mike Pennel,2014Mike Pennel,Colorado State-Pueblo,DT,76.25,332,9.88,33.38,,5.23,23,28.5,101,4.84,7.94,,#N/A,#N/A
2014,LaDarius Perkins,2014LaDarius Perkins,Mississippi State,RB,67.38,195,9.63,31,,4.46,23,35.5,123,4.3,7.08,,#N/A,#N/A
2014,Kevin Pierre-Louis,2014Kevin Pierre-Louis,Boston College,OLB,72.5,232,10.13,32.25,,4.51,28,39,127,4.02,6.92,,132,4
2014,Ronald Powell,2014Ronald Powell,Florida,OLB,75.13,237,9.38,32.5,,4.65,21,35.5,113,,,,169,5
2014,Walter Powell,2014Walter Powell,Murray State (KY),WR,71.38,189,,,,4.63,10,31.5,120,4.23,6.7,,#N/A,#N/A
2014,Jabari Price,2014Jabari Price,North Carolina,CB,70.63,200,9.13,31.63,,4.45,16,,,4.3,7.04,11.38,225,7
2014,Calvin Pryor,2014Calvin Pryor,Louisville,FS,71.13,207,9.13,31.38,,4.58,18,34.5,115,,,,18,1
2014,Loucheiz Purifoy,2014Loucheiz Purifoy,Florida,CB,71.5,190,8.5,32.75,,4.61,6,35.5,120,,,,#N/A,#N/A
2014,Kelcy Quarles,2014Kelcy Quarles,South Carolina,DT,75.75,297,9.38,33.25,,5.03,27,23.5,101,,,,#N/A,#N/A
2014,Kaleb Ramsey,2014Kaleb Ramsey,Boston College,DT,75,293,9.75,32.88,,,36,,,,,,243,7
2014,Keith Reaser,2014Keith Reaser,Florida Atlantic,CB,70.75,189,9.5,30.75,,4.43,22,,,,,,170,5
2014,Silas Redd,2014Silas Redd,Southern California,RB,69.75,212,9,30.75,,4.7,18,37,122,,,,#N/A,#N/A
2014,Tevin Reese,2014Tevin Reese,Baylor,WR,70.5,163,8.63,31.63,,4.46,,41,132,4.18,6.63,,240,7
2014,Caraun Reid,2014Caraun Reid,Princeton,DT,74.13,302,10.5,33,,4.91,20,26.5,104,4.58,7.59,,158,5
2014,Trevor Reilly,2014Trevor Reilly,Utah,OLB,76.75,245,9.5,32.25,,4.67,26,,,,,,233,7
2014,Bryn Renner,2014Bryn Renner,North Carolina,QB,75.25,228,9.13,30.38,,4.87,,25.5,108,4.3,7.22,,#N/A,#N/A
2014,Ed Reynolds,2014Ed Reynolds,Stanford,FS,73,207,8.5,30.75,,4.57,15,32.5,116,,,,162,5
2014,Rashaad Reynolds,2014Rashaad Reynolds,Oregon State,CB,69.88,189,9.75,31.63,,4.51,20,37.5,123,4,6.72,,#N/A,#N/A
2014,Antonio Richardson,2014Antonio Richardson,Tennessee,OT,77.75,336,10.25,35,,5.3,36,24.5,,,,,#N/A,#N/A
2014,Cyril Richardson,2014Cyril Richardson,Baylor,OG,76.75,329,9.5,34.63,,5.36,25,25.5,90,4.83,7.7,,153,5
2014,Paul Richardson,2014Paul Richardson,Colorado,WR,72.38,175,8.88,32.63,,4.4,,38,123,,7.09,,45,2
2014,Weston Richburg,2014Weston Richburg,Colorado State,C,75.38,298,9.25,33.38,,5.1,25,25.5,104,4.63,7.93,,43,2
2014,Marcus Roberson,2014Marcus Roberson,Florida,CB,72.25,191,9.25,31,,4.61,8,37.5,120,4.08,6.84,,#N/A,#N/A
2014,Allen Robinson,2014Allen Robinson,Penn State,WR,74.63,220,9.5,32,,4.6,,39,126,4,7,11.36,61,2
2014,Greg Robinson,2014Greg Robinson,Auburn,OT,77,332,10,35,,4.92,32,28.5,112,4.86,7.8,,2,1
2014,Bradley Roby,2014Bradley Roby,Ohio State,CB,71.25,194,10.25,31.5,,4.39,17,38.5,123,4.04,,,31,1
2014,Richard Rodgers,2014Richard Rodgers,California,TE,76,257,10.13,32.63,,4.87,16,31.5,115,4.47,7.23,,98,3
2014,Michael Sam,2014Michael Sam,Missouri,DE,74,261,9.38,33.38,,4.91,17,25.5,113,4.7,7.8,,249,7
2014,Bishop Sankey,2014Bishop Sankey,Washington,RB,69.5,209,10,31,,4.49,26,35.5,125,4,6.75,,54,2
2014,Jalen Saunders,2014Jalen Saunders,Oklahoma,WR,68.88,165,8.88,30,,4.44,,34,122,,,,104,4
2014,Tom Savage,2014Tom Savage,Pittsburgh,QB,75.88,228,9.63,31.63,,4.97,,27,104,4.36,7.33,,135,4
2014,Michael Schofield,2014Michael Schofield,Michigan,OT,78.5,301,9.63,34,,5.01,,24,92,4.57,7.62,,95,3
2014,Lache Seastrunk,2014Lache Seastrunk,Baylor,RB,69.5,201,9.25,30,,4.51,15,41.5,134,,,,186,6
2014,Austin Seferian-Jenkins,2014Austin Seferian-Jenkins,Washington,TE,77.5,262,9.75,33.75,,4.75,20,,,,,,38,2
2014,Connor Shaw,2014Connor Shaw,South Carolina,QB,72.38,206,9.25,30,,4.66,,34,115,4.33,7.07,,#N/A,#N/A
2014,Ryan Shazier,2014Ryan Shazier,Ohio State,OLB,73.13,237,10,32.38,,4.58,25,42,128,4.21,6.91,,15,1
2014,Prince Shembo,2014Prince Shembo,Notre Dame,OLB,73.38,253,10.5,33.13,,4.71,26,38.5,122,4.31,7.29,,139,4
2014,Charles Sims,2014Charles Sims,West Virginia,RB,72,214,8.25,31,,4.48,17,37.5,125,4.3,7.16,,69,3
2014,Yawin Smallwood,2014Yawin Smallwood,Connecticut,ILB,74.25,246,9.5,31.75,,,18,36.5,108,,,,253,7
2014,Chris Smith,2014Chris Smith,Arkansas,DE,73,266,9.5,34.13,,4.71,28,37,121,4.46,7.55,,159,5
2014,Jerome Smith,2014Jerome Smith,Syracuse,RB,71.13,220,9.75,30.88,,4.84,14,36,116,4.6,7.53,,#N/A,#N/A
2014,Marcus Smith,2014Marcus Smith,Louisville,DE,75.38,251,10,34,,4.68,23,35,121,4.47,7.48,,26,1
2014,Telvin Smith,2014Telvin Smith,Florida State,OLB,75,218,10.25,32.5,,4.52,,31.5,117,,,,144,5
2014,Willie Snead,2014Willie Snead,Ball State (IN),WR,71,195,10.25,33,,4.62,11,33.5,112,4.39,7.19,11.96,#N/A,#N/A
2014,Daniel Sorensen,2014Daniel Sorensen,Brigham Young,SS,73.38,205,8.5,31,,4.67,13,32,113,3.95,6.47,10.8,#N/A,#N/A
2014,Tyler Starr,2014Tyler Starr,South Dakota,OLB,76.13,250,9.5,32.5,,4.95,24,32,115,4.15,6.64,,255,7
2014,Shamar Stephen,2014Shamar Stephen,Connecticut,DT,76.88,309,10,33.13,,5.25,25,30.5,102,,,,220,7
2014,Josh Stewart,2014Josh Stewart,Oklahoma State,WR,69.88,178,9.38,30,,4.69,11,35,116,4.33,7.1,,#N/A,#N/A
2014,James Stone,2014James Stone,Tennessee,C,75.63,306,10.13,33.88,,5.17,22,27.5,104,4.63,8.16,,#N/A,#N/A
2014,Devin Street,2014Devin Street,Pittsburgh,WR,74.88,198,9.25,33.38,,4.55,,37,123,4.01,6.89,,146,5
2014,Xavier Su'a-Filo,2014Xavier Su'a-Filo,UCLA,OG,76.13,307,9.38,33.38,,5.04,25,25,101,4.44,7.6,,33,2
2014,Vinnie Sunseri,2014Vinnie Sunseri,Alabama,SS,71.13,210,10,30,,,18,,,,,,167,5
2014,Will Sutton,2014Will Sutton,Arizona State,DT,72.5,303,10,31.25,,5.36,24,28.5,99,4.82,7.93,,82,3
2014,Travis Swanson,2014Travis Swanson,Arkansas,C,77,312,10,33.13,,5.28,20,26,93,4.65,7.73,,76,3
2014,Lorenzo Taliaferro,2014Lorenzo Taliaferro,Coastal Carolina (SC),RB,72.25,229,8.38,32,,4.58,18,33,116,4.22,6.88,,138,4
2014,Brandon Thomas,2014Brandon Thomas,Clemson,OG,75.25,317,10.5,34.75,,5.09,35,29,98,4.83,8.13,,100,3
2014,DeAnthony Thomas,2014DeAnthony Thomas,Oregon,RB,68.63,174,8.13,29.88,,4.5,8,32,123,,,,#N/A,#N/A
2014,Jemea Thomas,2014Jemea Thomas,Georgia Tech,FS,69.25,192,10,30.63,,4.55,19,37,124,,,,206,6
2014,Logan Thomas,2014Logan Thomas,Virginia Tech,QB,78.13,248,10.88,34.25,,4.61,,35.5,116,4.18,7.05,,120,4
2014,Robert Thomas,2014Robert Thomas,Arkansas,DT,73.25,327,10,33.88,,5.26,32,,,,,,#N/A,#N/A
2014,Khyri Thornton,2014Khyri Thornton,Southern Mississippi,DT,74.63,304,9.5,32.5,,5.03,28,29,111,4.76,7.83,,85,3
2014,Jordan Tripp,2014Jordan Tripp,Montana,OLB,74.75,234,9.63,30.75,,4.67,22,37.5,120,3.96,6.89,,171,5
2014,Stephon Tuitt,2014Stephon Tuitt,Notre Dame,DT,77.5,304,10,34.75,,4.92,31,,,,,,46,2
2014,Billy Turner,2014Billy Turner,North Dakota State,OT,77,315,10,34,,5.16,25,28,108,4.71,7.92,,67,3
2014,Trai Turner,2014Trai Turner,Louisiana State,OG,74.63,310,9.5,34,,4.93,25,27.5,,,,,92,3
2014,George Uko,2014George Uko,Southern California,DT,74.63,284,10.13,33.25,,4.99,18,29.5,110,,,,#N/A,#N/A
2014,John Urschel,2014John Urschel,Penn State,OG,75,313,10.38,33,,5.31,30,29,101,4.47,7.55,,175,5
2014,Kyle Van Noy,2014Kyle Van Noy,Brigham Young,OLB,75.13,243,,,,4.71,21,32.5,111,4.2,7.22,,40,2
2014,Dustin Vaughan,2014Dustin Vaughan,West Texas A&M,QB,76.88,235,8.88,33,,4.95,,29,108,4.43,7.25,,#N/A,#N/A
2014,Brock Vereen,2014Brock Vereen,Minnesota,SS,71.63,199,8.25,30,,4.47,25,34,116,4.07,6.9,,131,4
2014,Jason Verrett,2014Jason Verrett,Texas Christian,CB,69.5,189,9.25,30.63,,4.38,,39,127,4,6.69,,25,1
2014,Jimmie Ward,2014Jimmie Ward,Northern Illinois,SS,71,193,9.38,31,,4.59,9,,,,,,30,1
2014,L'Damian Washington,2014L'Damian Washington,Missouri,WR,75.88,195,9,33.38,,4.46,8,32,114,4.35,7.19,,#N/A,#N/A
2014,Todd Washington,2014Todd Washington,Southeast Louisiana,CB,71.38,196,8.75,31.13,,4.57,13,,,,,,#N/A,#N/A
2014,Jaylen Watkins,2014Jaylen Watkins,Florida,CB,71.5,194,9.63,30.63,,4.41,22,,,,,,101,4
2014,Sammy Watkins,2014Sammy Watkins,Clemson,WR,72.75,211,9.63,32,,4.43,16,34,125,4.34,6.95,,4,1
2014,Chris Watt,2014Chris Watt,Notre Dame,OG,74.63,310,9.5,32.75,,5.5,29,,,,,,89,3
2014,Larry Webster,2014Larry Webster,Bloomsburg,DE,78,252,10.13,33.5,,4.58,17,36.5,123,4.44,7.29,,136,4
2014,Keith Wenning,2014Keith Wenning,Ball State (IN),QB,75,218,10,31.25,,5,,28,99,4.25,7.07,,194,6
2014,Terrance West,2014Terrance West,Towson (MD),RB,69.25,225,9.13,31,,4.56,16,33.5,120,,,,94,3
2014,Ethan Westbrooks,2014Ethan Westbrooks,West Texas A&M,DE,75.5,267,9.63,33.25,,4.9,19,29,110,4.67,7.3,,#N/A,#N/A
2014,Lavelle Westbrooks,2014Lavelle Westbrooks,Georgia Southern,CB,71,186,9.75,32.38,,4.63,15,36,121,4.27,6.98,,252,7
